Date,Open,High,Low,Close,Adj Close,Volume
2022-08-23,102.0,103.63999938964844,98.94499969482422,100.37000274658203,91.09194946289062,2999270
2022-08-24,100.94999694824219,104.04000091552734,99.72760009765625,103.75,94.15950012207031,2181800
2022-08-25,104.16000366210938,104.44499969482422,102.93009948730469,103.80000305175781,94.20489501953125,1535612
2022-08-26,103.8499984741211,105.55000305175781,103.0,103.66000366210938,94.07782745361328,1394670
2022-08-29,102.38999938964844,105.5,101.5,103.7699966430664,94.17765045166016,1275918
2022-08-30,100.27999877929688,100.83999633789062,95.70999908447266,97.88999938964844,88.84120178222656,2429144
2022-08-31,95.16999816894531,101.65499877929688,94.8499984741211,100.48999786376953,91.20083618164062,2416103
2022-09-01,98.77999877929688,100.37000274658203,97.0999984741211,98.0199966430664,88.95916748046875,1506232
2022-09-02,101.44000244140625,101.4800033569336,99.08999633789062,99.73999786376953,90.52018737792969,1400116
2022-09-06,99.16999816894531,99.75,96.18000030517578,96.52999877929688,87.6069107055664,2050593
2022-09-07,94.5,98.01419830322266,92.87750244140625,97.73999786376953,88.70506286621094,1719643
2022-09-08,98.68000030517578,101.0199966430664,97.13390350341797,100.4000015258789,91.1191635131836,1438473
2022-09-09,102.45999908447266,104.2699966430664,102.1500015258789,102.77999877929688,93.27916717529297,1713209
2022-09-12,104.58999633789062,104.83000183105469,102.22000122070312,103.83000183105469,94.23210144042969,1403496
2022-09-13,102.91000366210938,104.98999786376953,100.62999725341797,101.43000030517578,92.05397033691406,1661664
2022-09-14,104.25,105.92990112304688,103.06999969482422,104.55999755859375,94.89462280273438,2238408
2022-09-15,101.63999938964844,104.19989776611328,100.99600219726562,103.58999633789062,94.01428985595703,1817849
2022-09-16,103.58999633789062,103.83999633789062,99.18000030517578,100.58000183105469,91.28253936767578,4652956
2022-09-19,98.0199966430664,102.5999984741211,97.54000091552734,102.26000213623047,92.80723571777344,1643175
2022-09-20,101.75,103.6449966430664,99.88500213623047,102.61000061035156,93.1248779296875,1898213
2022-09-21,104.80000305175781,105.36000061035156,101.45999908447266,102.08000183105469,92.64387512207031,1450833
2022-09-22,104.36000061035156,105.02999877929688,98.33999633789062,98.52999877929688,89.4220199584961,1794373
2022-09-23,93.93000030517578,94.0,90.58499908447266,92.93000030517578,84.33969116210938,3189520
2022-09-26,92.0199966430664,94.22000122070312,90.9000015258789,91.08999633789062,82.6697769165039,2418425
2022-09-27,92.30000305175781,93.88999938964844,91.16000366210938,91.88999938964844,83.39581298828125,2026709
